Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Order ID,Customer_ID,Price,Discount,Delivery Time,Shipping Mode,Customer Rating,Customer Segment,Returned,Return Reason,Return
31-12-2024,Printer,Office,North,4,3640,348.93,1,ABC0001,910,33,4,Same Day,3.5,Premium,No,Not Returned,No
27-11-2022,Mouse,Accessories,East,7,1197,106.53,2,ABC0002,171,19,7,Same Day,2.8,Regular,Yes,Not Returned,No
11-05-2022,Tablet,Electronics,South,5,5865,502.73,3,ABC0003,1173,12,1,Standard,5,Premium,No,Not Returned,No
16-03-2024,Mouse,Accessories,South,2,786,202.87,4,ABC0004,393,25,7,Standard,2.9,Regular,Yes,Not Returned,No
10-09-2022,Mouse,Accessories,West,1,509,103.28,5,ABC0005,509,23,8,Same Day,3.2,Regular,No,Not Returned,No
01-12-2023,Camera,Electronics,West,1,524,106.35,6,ABC0006,524,27,5,Express,3.3,Regular,No,Not Returned,No
09-10-2023,Headphones,Accessories,North,7,6167,1027.98,7,ABC0007,881,15,2,Same Day,4.6,Premium,No,Not Returned,No
14-01-2022,Camera,Electronics,South,7,3059,873.5,8,ABC0008,437,15,5,Same Day,3.3,Premium,No,Not Returned,No
02-04-2022,Smartwatch,Electronics,East,9,5526,595.28,9,ABC0009,614,28,6,Same Day,4.3,Premium,No,Not Returned,No
22-10-2024,Printer,Office,South,8,672,186.37,10,ABC0010,84,28,12,Express,1,Regular,Yes,Low Rating,No
04-12-2023,Monitor,Accessories,,6,7074,1357.68,11,ABC0011,1179,7,2,Express,4.1,Premium,No,Not Returned,No
27-09-2022,Smartwatch,Electronics,East,2,502,137.4,12,ABC0012,251,26,6,Express,3.4,Regular,No,Not Returned,No
21-12-2023,Tablet,Electronics,North,7,7462,2166.17,13,ABC0013,1066,6,6,Standard,3.1,Premium,No,Not Returned,No
03-02-2024,Smartphone,Electronics,West,5,4205,585.29,14,ABC0014,841,28,1,Express,4.5,Premium,No,Not Returned,No
10-10-2023,Camera,Electronics,West,1,570,138.54,15,ABC0015,570,34,1,Standard,5,Regular,No,Not Returned,No
16-10-2022,Headphones,Accessories,East,1,441,102.42,16,ABC0016,441,6,11,Standard,1.3,Regular,Yes,Low Rating,No
15-05-2022,Mouse,Accessories,North,7,7469,589.81,17,ABC0017,1067,25,10,Express,1.6,Premium,Yes,Low Rating,No
11-02-2023,Tablet,Electronics,South,2,2212,145.75,18,ABC0018,1106,37,3,Express,4.1,Regular,No,Not Returned,No
27-12-2023,Tablet,Electronics,East,5,740,146.39,19,ABC0019,148,16,10,Express,1,Regular,Yes,Low Rating,No
05-10-2023,Headphones,Accessories,North,1,662,193.92,20,ABC0020,662,26,10,Standard,1,Regular,Yes,Low Rating,No
05-03-2024,Mouse,Accessories,North,7,5712,651.27,21,ABC0021,816,29,12,Same Day,1.5,Premium,Yes,Low Rating,No
18-07-2023,Smartwatch,Electronics,North,3,2739,572.73,22,ABC0022,913,31,3,Express,3.7,Premium,No,Not Returned,No
25-06-2023,Keyboard,Accessories,West,5,1400,213.63,23,ABC0023,280,32,4,Express,3.6,Regular,No,Not Returned,No
13-11-2023,Printer,Office,North,3,3477,939.2,24,ABC0024,1159,20,2,Express,5,Premium,No,Not Returned,No
09-07-2022,Camera,Electronics,North,5,3475,570.36,25,ABC0025,695,19,9,Standard,2,Premium,Yes,Low Rating,No
11-12-2023,Laptop,Electronics,West,9,6138,1562.14,26,ABC0026,682,7,10,Standard,1.6,Premium,Yes,Low Rating,No
18-03-2023,Camera,Electronics,West,5,3665,406.93,27,ABC0027,733,11,12,Same Day,1.4,Premium,Yes,Low Rating,No
09-08-2024,Printer,Office,North,2,2372,206.42,28,ABC0028,1186,25,11,Express,1,Premium,Yes,Low Rating,No
04-05-2024,Laptop,Electronics,North,2,1382,211.11,29,ABC0029,691,13,7,Standard,3.3,Regular,No,Not Returned,No
04-09-2022,Laptop,,West,1,1126,194.08,30,ABC0030,1126,22,7,Same Day,3.1,Regular,No,Not Returned,No
21-10-2022,Printer,Office,West,8,1376,152.1,31,ABC0031,172,8,6,Express,3.9,Regular,No,Not Returned,No
